1554482100.01;16.7;59.7
1554482400.01;16.9;59.7
1554482700.1;17.0;59.6
1554483000.11;17.0;59.6
1554483300.02;16.9;59.6
1554483600.05;16.9;59.7
1554483900.04;16.9;59.8
1554484200.1;16.9;59.9
1554484500.04;16.9;60.0
1554484800.1;16.8;60.2
1554485100.11;16.8;60.2
1554485400.07;16.8;60.4
1554485700.11;16.8;60.5
1554486000.04;16.8;60.7
1554486300.11;16.8;60.8
1554486600.01;16.8;61.0
1554486900.1;16.9;61.2
1554487200.11;16.8;61.3
1554487500.02;16.8;61.4
1554487800.11;16.8;61.4
1554488100.04;16.8;61.5
1554488400.11;16.8;61.6
1554488700.11;16.8;61.7
1554489000.1;16.8;61.7
1554489300.02;16.9;61.8
1554489600.07;16.9;61.8
1554489900.11;16.9;61.9
1554490200.04;16.8;61.9
1554490500.11;16.8;62.0
1554490800.01;16.8;62.2
1554491100.1;16.9;62.3
1554491400.02;16.9;62.5
1554491700.07;16.8;62.6
1554492000.1;16.8;62.7
1554492300.04;16.8;62.9
1554492600.11;16.9;63.0
1554492900.01;16.9;63.1
1554493200.1;16.8;63.1
1554493500.11;16.8;63.1
1554493800.07;16.8;63.1
1554494100.11;16.8;63.1
1554494400.04;16.9;63.2
1554494700.1;16.9;63.3
1554495000.01;16.8;63.4
1554495300.1;16.8;63.5
1554495600.08;16.8;63.6
1554495900.08;16.8;63.6
1554496200.11;16.8;63.6
1554496500.11;16.8;63.6
1554496800.11;16.8;63.6
1554497100.02;16.8;63.6
1554497400.02;16.8;63.6
1554497700.11;16.8;63.5
1554498000.08;16.8;63.4
1554498300.11;16.8;63.4
1554498600.05;16.8;63.3
1554498900.11;16.8;63.3
1554499200.11;16.8;63.3
1554499500.11;16.8;63.2
1554499800.1;16.7;63.2
1554500100.08;16.7;63.2
1554500400.11;16.8;63.0
1554500700.05;16.7;62.9
1554501000.1;16.7;62.9
1554501300.02;16.7;62.8
1554501600.11;16.7;62.8
1554501900.11;16.7;62.7
1554502200.08;16.7;62.6
1554502500.11;16.7;62.4
1554502800.05;16.7;62.2
1554503100.02;16.7;62.1
1554503400.02;16.7;61.9
1554503700.1;16.7;61.7
1554504000.11;16.7;61.6
1554504300.08;16.7;61.5
1554504600.11;16.7;61.4
1554504900.05;16.7;61.3
1554505200.11;16.7;61.2
1554505500.02;16.7;61.2
1554505800.11;16.7;61.0
1554506100.1;16.7;61.0
1554506400.02;16.6;60.9
1554506700.11;16.6;60.8
1554507000.05;16.6;60.7
1554507300.11;16.6;60.6
1554507600.11;16.6;60.5
1554507900.11;16.6;60.4
1554508200.11;16.6;60.3
1554508500.11;16.6;60.2
1554508800.1;16.6;60.1
1554509100.05;16.6;60.1
1554509400.07;16.6;60.0
1554509700.02;16.6;60.0
1554510000.11;16.6;60.0
1554510300.05;16.5;60.0
1554510600.08;16.6;60.0
1554510900.1;16.6;59.9
1554511200.11;16.6;59.9
1554511500.11;16.5;59.8
1554511800.11;16.5;59.7
1554512100.01;16.5;59.6
1554512400.1;16.5;59.6
1554512700.08;16.4;59.5
1554513000.11;16.4;59.5
1554513300.05;16.4;59.5
1554513600.11;16.4;59.4
1554513900.02;16.4;59.3
1554514200.02;16.4;59.3
1554514500.11;16.4;59.2
1554514800.08;16.4;59.2
1554515100.11;16.4;59.1
1554515400.05;16.4;59.1
1554515700.11;16.4;59.0
1554516000.02;16.4;59.0
1554516300.11;16.3;58.9
1554516600.1;16.4;58.9
